"IP","Date","Time","Accepted cookies","Device type","Browser language","Browser name","OS Name","Country","Region","RegionName","City","Zipcode","Lat","Lon"
49.36.83.154,2023-05-31,05:22:29 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-05,03:31:00 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-15,10:08:49 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-20,04:55:38 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-06-30,05:55:36 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-03,04:09:59 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-06,06:54:45 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-06,09:22:48 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-07,04:08:57 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-07,12:22:35 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-10,04:56:24 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-10,05:34:51 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-07-10,06:18:31 UTC,["necessary"],desktop,en,Chrome,Linux,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
